Country,Currency,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,m. Can$,372,495,1220,1875,1970,1771,1819,1888,1829,1740,1642,1654,1715,1810,1712,1813,1659,1766,1965,1927,1899,1974,2098,2211,2363,2748,3236,3532,3990,4528,4784,5547,6164,7424,8562,9519,10187,10811,11529,12336,12854,13473,12830,13111,13293,13008,12457,11511,10831,11716,12360,12314,13191,13379,14143,14951,16001,17066,19255,21100,21828,19255,20607,20276,18593,19538
USA,m. US$,13503,14307,33059,47598,49377,42786,40371,41513,44159,45096,45833,45380,47808,52381,52295,51213,51827,63572,75448,80732,81443,79846,74862,77639,78358,85906,88400,91013,100925,109247,122279,138191,169888,213626,213626,231459,258165,281105,288157,293093,304085,306170,280292,305141,297637,288059,278856,271417,276324,274278,280969,301697,312743,356720,415223,464676,503353,527660,556961,621131,668567,698180,711338,684780,639704,609914
Albania,m. Leks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,912,1011,955,965,990,1451,2475,4010,4698,4719,4777,4442,5067,5891,6519,7638,8220,9279,10373,11000,13831,17619,21450,23633,19749,19865,19910,18892,14232
Belgium,m. Euros,205,205,332,495,491,513,423,423,455,454,463,475,485,523,551,616,621,698,753,801,837,927,1008,1120,1253,1431,1758,2019,2218,2472,2639,2870,3116,3275,3387,3449,3574,3770,3853,3734,3791,3847,3915,3293,3213,3271,3251,3256,3267,3297,3378,3463,3393,3344,3434,3433,3400,3434,3773,4298,4048,3960,3956,4023,3939,3911
Bulgaria,m. Leva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,4.1,6,7.8,20.9,25.1,38,410,564,656,746,887,947,986,1025,1101,1171,1475,1388,1355,1320,1166,1229,1326,1235
Croatia,m. Kunes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,4184,9748,10777,10535,11072,9082,7367,5461,5251,5775,4757,4250,4323,4959,5251,6396,5966,5585,5913,5589,5459,5031
Czech Rep,m. Koruny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23777,27008,28275,30509,31328,37643,41688,44670,44978,48924,53194,52481,58445,55358,54949,49827,51824,47706,43785,42007,40765,41991
Denmark,m. Kroner,360,359,475,676,889,885,920,936,1012,988,986,1113,1180,1551,1651,1764,1974,2080,2249,2591,2640,2967,3195,3386,3520,4462,5355,5714,6382,7294,8045,9117,10301,11669,12574,13045,13344,13333,14647,15620,15963,16399,17091,17129,17390,17293,17468,17896,18521,19071,19428,19339,21017,21269,21075,21441,20800,23173,22731,24410,23252,25328,24259,25617,23724,25022
Estonia,m. Euro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,11.1,20.9,26.6,31.9,47.1,53.9,69.2,84.9,105,130,152,165,214,251,325,346,312,251,280,340,361,384
France,m. Euro,730,852,1343,1910,2086,1785,1680,2240,2378,2526,2733,2921,3109,3382,3483,3702,3857,4075,4408,4614,4680,4981,5322,5792,6446,7299,8518,9741,11248,12985,14702,17024,19774,22566,25159,26928,28465,30045,31942,32788,34351,35355,36730,36416,36771,37574,36349,36188,36756,36012,36510,36702,37187,38681,40684,42690,42545,43457,44273,45063,48146,46648,46471,46725,47010,46947
Germany,m. Euro,0,0,0,0,3167,3214,3775,3687,4582,3504,5669,6194,6736,8811,10187,9997,10182,10356,10946,9873,11032,11541,13012,14684,16314,18224,19219,19900,20546,21995,23220,24807,26686,27729,28886,29284,29987,30744,31370,31515,32302,34960,33530,33508,31459,30144,30159,29998,29451,29822,30603,30554,30648,31168,31060,30610,30600,30365,31090,32824,34171,34925,34630,36168,35901,35013
Greece,m. Euro,4.8,5.8,7.7,7.8,8.1,10.1,10.8,14.5,13.1,13.1,13.9,15,14.8,15,15.8,16.6,18.5,21,27.6,32.3,37.5,41.7,45.4,50.5,58.7,92.4,135,167,199,228,264,285,419,517,567,660,781,821,954,1145,1220,1486,1683,2027,2264,2554,2842,3259,3665,4184,4496,4895,4948,5030,4462,5048,5652,6064,6235,7219,7660,6164,5128,4604,4535,4008
Hungary,b. Forint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,53.2,58.4,61.1,70.3,76.9,90.8,89.4,103,147,151,191,226,272,280,314,311,319,297,326,321,299,281,296,298,271,271
Italy,m. Euro,156,182,236,269,248,280,285,302,316,334,344,367,387,445,533,577,626,693,702,725,729,807,957,1117,1235,1473,1603,1863,2341,2738,3340,3947,4890,6349,7437,8487,9176,10366,11812,13190,14121,14464,15592,15914,16715,16958,16300,18680,19987,21052,22240,24325,24592,25887,26795,27476,26959,26631,26275,28156,27571,27206,27429,26254,25526,23296
Latvia,m. Lats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,32.7,29.9,31.4,35.4,47.1,60.4,77.7,130,154,176,219,293,352,398,262,196,212,199,214,226
Lithuania,m. Litai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.2,83.8,122,169,302,553,461,779,860,885,967,753,843,968,1116,1276,1006,851,855,883,923,981
Luxembourg,m. Euro,2.8,4.2,6.5,10.8,12.1,14,15.2,9.8,10.9,10.6,10,6.5,7.2,8.8,8.6,11.5,11.8,12.3,10.2,9.3,9.7,10.3,11,12.8,14.9,17.6,20.7,24.4,25.5,28.6,30.8,38,42.5,46.9,52.2,55.4,56.1,59.2,67.7,78.4,74.2,80.1,91.2,98.2,92.7,105,104,109,119,129,132,139,179,163,176,189,196,197,209,199,199,250,221,214,220,224
Netherlands,m. Euro,309,409,481,569,604,718,771,841,837,752,683,784,914,992,1047,1208,1232,1266,1452,1488,1671,1774,1994,2217,2432,2788,3230,3477,4126,4150,4586,4754,5126,5852,5513,5791,5854,5949,6014,6035,6158,6132,6148,6308,5946,5895,5837,5989,6056,6154,6595,6482,6929,7149,7404,7552,7693,8145,8388,8448,8733,8472,8379,8067,7769,7602
Norway,m. Kroner,370,357,572,831,1067,1141,953,967,1049,1024,1107,1058,1179,1371,1465,1570,1897,1947,2097,2300,2502,2774,3022,3239,3505,3938,4771,5333,5934,6854,7362,8242,9468,10956,12395,12688,15446,16033,18551,18865,20248,21251,21313,23638,22528,24019,22224,22813,23010,25087,25809,25722,26669,32461,31985,32945,31471,32142,34439,35932,38960,39279,40534,41560,43247,42697
Poland,m. Zloty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,215,1464,1821,2564,3847,5117,6594,8313,10468,12133,12800,13673,14864,15407,16141,17479,19078,20541,23774,22525,24661,26505,28015,29266,29317,33124
Portugal,m. Euro,7.1,7.6,7.7,8.4,9.9,10.5,11.2,11.5,11.9,12.4,14.1,15.1,24.6,28.7,28.6,32.2,33.3,36.9,47.8,53.3,53.8,62.5,73.3,80,83.5,125,99.3,94,110,136,171,217,259,318,383,459,556,698,795,968,1144,1333,1525,1705,1758,1800,2013,2001,2089,2098,2259,2393,2598,2765,2755,2996,3248,3242,3190,3285,3561,3563,3528,3220,3602,3166
Romania,m. New Lei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.8,3.9,10.5,25.7,55,155,200,270,770,1113,1465,2031,2864,3491,4151,4994,5757,6324,6358,7558,6785,6630,7255,8084,8391,8515
Slovakia,m. Euro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,319,621,653,557,465,449,523,632,662,762,762,848,898,929,994,967,853,763,790,726,745
Slovenia,m. Euro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.5,109,128,166,186,194,209,208,207,275,328,360,396,413,485,506,566,575,583,479,423,381,370
Spain,m. Euro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2106,2565,2887,3162,3576,4056,4299,5125,5021,5550,5546,5693,5577,6340,5978,6483,6560,6750,6756,7092,7599,7972,8414,8587,9132,9508,11506,12219,12756,12196,11132,10059,10828,9495,9596
Turkey,m. Lira,0,0,0,0,0,0,0.0011,0.0012,0.0013,0.0015,0.0022,0.0024,0.0027,0.003,0.0032,0.0034,0.0038,0.004,0.0046,0.0052,0.0054,0.0064,0.0085,0.01,0.012,0.016,0.033,0.041,0.05,0.066,0.093,0.2,0.31,0.45,0.56,0.8,1.2,1.9,2.5,3.8,7.2,13.9,23.7,42.3,,157,303,612,1183,2289,4168,6248,8844,13641,15426,15568,16232,18747,19664,22014,25033,26674,28692,31987,35089,38405
UK,m. Pound,779,849,1149,1561,1681,1569,1567,1615,1574,1591,1589,1655,1709,1814,1870,2000,2091,2153,2276,2332,2303,2607,2815,3258,3512,4160,5571,6132,6810,7616,9029,11542,12144,14870,15830,17511,18352,18639,19269,19290,20868,22287,24380,22850,22686,22490,21439,22330,21612,22477,22548,23552,24874,26991,29338,29524,30603,31454,33486,36431,37425,37645,37608,36838,36217,36902
